vectorizer,model,mean_f1,std_f1,mean_acc,mean_precision,mean_recall,mean_roc_auc,fit_time_s,vec_type,fold_1_f1,fold_1_acc,fold_2_f1,fold_2_acc,fold_3_f1,fold_3_acc,fold_4_f1,fold_4_acc,fold_5_f1,fold_5_acc,rank
tfidf_unigram,LogReg,0.7589184322877911,0.0069210737406341545,0.7996789695758384,0.7792934465961072,0.7398312793427231,0.8609168578544437,3.18,sparse,0.7578616352201258,0.7948034643570953,0.7642276422764228,0.8067954696868754,0.767757382282522,0.8061292471685543,0.7571884984025559,0.7973333333333333,0.747557003257329,0.7933333333333333,1
tfidf_bigram,LogReg,0.7557195800304687,0.005704206423933278,0.7968801243615369,0.7752813914917739,0.7373303012519561,0.8594317281284818,0.54,sparse,0.7616785431512272,0.7994670219853431,0.755700325732899,0.8001332445036642,0.7620553359683795,0.7994670219853431,0.752,0.7933333333333333,0.747163695299838,0.792,2
count_bigram,LogReg,0.7549121176991914,0.006312066100411406,0.7971461692205197,0.7786181826949281,0.7329538341158058,0.8558309449061123,0.97,sparse,0.757527733755943,0.7961359093937375,0.7616707616707616,0.8061292471685543,0.7604501607717041,0.8014656895403065,0.7490102929532858,0.7886666666666666,0.7459016393442623,0.7933333333333333,3
count_bow,LogReg,0.7536197641168064,0.005276962565996634,0.7942147013102376,0.7699141657398082,0.7382712245696401,0.8544048596002393,0.54,sparse,0.75,0.7881412391738841,0.7615947925142392,0.8047968021319121,0.7581284694686756,0.7968021319120586,0.7503949447077409,0.7893333333333333,0.7479806138933764,0.792,4
tfidf_trigram,LogReg,0.7512007817105781,0.006686030261517998,0.7922149677992449,0.767113630305644,0.7360807902973395,0.8568324274917799,0.4,sparse,0.7582938388625592,0.7961359093937375,0.7520259319286872,0.7961359093937375,0.7569279493269992,0.7954696868754164,0.7492063492063492,0.7893333333333333,0.7395498392282959,0.784,5
tfidf_unigram,NaiveBayes,0.7504578737514592,0.004903681437127898,0.7923500777259604,0.7693537715853814,0.7326423122065728,0.8553795758971171,0.1,sparse,0.7448494453248812,0.7854763491005996,0.7520128824476651,0.7948034643570953,0.7549563838223632,0.7941372418387741,0.7559808612440191,0.796,0.7444897959183674,0.7913333333333333,6
count_trigram,LogReg,0.750296620412336,0.00933702580114588,0.7931474128358872,0.773270967194941,0.7288874217527387,0.8538566596053286,1.36,sparse,0.751188589540412,0.7908061292471685,0.7657142857142857,0.8087941372418388,0.752411575562701,0.7948034643570953,0.7376788553259142,0.78,0.7444897959183674,0.7913333333333333,7
tfidf_bigram,NaiveBayes,0.7463685205787759,0.007442646734465254,0.801145547412836,0.817889234108559,0.6866715571205008,0.8538128545437031,0.14,sparse,0.7435254803675856,0.7954696868754164,0.751931330472103,0.8074616922051966,0.7554438860971524,0.8054630246502332,0.7470288624787776,0.8013333333333333,0.7339130434782609,0.796,8
count_bow,NaiveBayes,0.7457388203690462,0.004716161373607008,0.7903502553852986,0.7720486133464093,0.7213849765258216,0.8461884444653467,0.08,sparse,0.7403846153846154,0.7841439040639574,0.75,0.7948034643570953,0.7518072289156627,0.7941372418387741,0.7460063897763578,0.788,0.740495867768595,0.7906666666666666,9
count_bigram,MLP,0.7424211744457601,0.008363384780440285,0.7974140795025538,0.8111583494118829,0.6857384585289514,0.8464999601266134,162.02,sparse,0.7469287469287469,0.7941372418387741,0.7451640033641715,0.7981345769487008,0.7401574803149606,0.8021319120586275,0.7522633744855967,0.7993333333333333,0.7275922671353251,0.7933333333333333,10
count_bigram,NaiveBayes,0.7411497614019904,0.008137679949804862,0.7960805685098823,0.8075304814162483,0.6851095461658843,0.8368268665175334,0.09,sparse,0.7359597652975691,0.7901399067288475,0.7476475620188195,0.8034643570952699,0.7527060782681099,0.8021319120586275,0.7394957983193278,0.7933333333333333,0.7299396031061259,0.7913333333333333,11
count_trigram,XGBoost,0.7397023993947444,0.009531155414269719,0.7875498112369532,0.7740608137528745,0.7085602503912363,0.8504813992923212,30.54,sparse,0.7506053268765133,0.7941372418387741,0.7423363711681856,0.7928047968021319,0.7455716586151369,0.7894736842105263,0.7372675828617623,0.7833333333333333,0.7227310574521232,0.778,12
count_bow,MLP,0.7380561210891129,0.014187122427525086,0.7958127470575171,0.8145814469904875,0.676039710485133,0.8482909334961894,67.18,sparse,0.7400346620450606,0.8001332445036642,0.7516891891891891,0.8041305796135909,0.7466216216216216,0.8001332445036642,0.7109515260323159,0.7853333333333333,0.740983606557377,0.7893333333333333,13
tfidf_bigram,LinearSVM,0.7378184540005928,0.0107803543652381,0.7800858982900288,0.7502884533255114,0.7260739436619719,0.8459223816248894,0.48,sparse,0.7409733124018838,0.7801465689540307,0.7504051863857374,0.7948034643570953,0.7403314917127072,0.7808127914723517,0.7396403440187647,0.778,0.717741935483871,0.7666666666666667,14
